Year,Brand,Model,Sales,Notes
2023,Audi,A4,237000,Consistent global performer.
2023,Audi,A6,267000,Strong sales in luxury sedan segment.
2023,Audi,Q5,332000,Audi's top-selling model worldwide.
2023,Audi,e-tron GT,3202,High-performance electric sedan sales in US.
2023,Audi,Q4 e-tron,10750,"Strong US sales for this electric SUV (combined regular and Sportback)."
2023,Audi,Q8 e-tron,11087,"US sales for the new flagship electric SUV (combined regular and Sportback)."
2023,Audi,Total EV,178000,Total global deliveries of all-electric Audi models.
2022,Audi,Q5,62912,Top-selling Audi in the US market for 2022.
2022,Audi,e-tron,10397,US sales for the e-tron line before Q8 rebranding.
2022,Audi,Total,1614231,Total global deliveries for the Audi brand.
2023,VW,Total,4870000,Total deliveries for the VW brand worldwide.
2023,VW,Total EV,394000,Total global deliveries of all-electric VW models.
2023,VW,ID.4,38000,"US deliveries, showing an 84.2% increase."
2023,VW,ID.3,75000,"Deliveries in China, a 200% increase."
2023,VW,T-Roc,289426,Best-selling VW SUV in Europe.
2023,VW,Golf,309414,Continued popularity high production volume.
2023,VW,Tiguan,633147,"Very high production volume, global success."
2023,VW,Polo,110000,Record-breaking sales in Brazil alone.
2023,Porsche,Total,320000,Total global deliveries for Porsche.
2023,Porsche,911,11692,"Strong US sales, up 14.6%."
2023,Porsche,Macan,26947,New annual sales record in the US.
2023,Porsche,Taycan,7570,"US sales grew by 4.1%."
2023,Porsche,Cayenne,95706,Global production figures for the popular SUV.
2022,Porsche,Total,309884,Total global deliveries.
2022,Porsche,Cayenne,95604,Was the best-selling Porsche model in 2022.
2022,Porsche,Macan,86724,Second best-selling model globally.
2022,Porsche,Taycan,34801,"Global sales declined 16% due to supply chain bottlenecks."
2023,Skoda,Total,867000,Total global deliveries.
2023,Skoda,Octavia,205764,Production figures for its bestseller.
2023,Skoda,Enyaq,54400,"Strong sales in first 9 months, up 47.6%."
2023,Cupra,Total,230700,"Record-breaking year, 50.9% growth."
2023,Cupra,Formentor,120100,"Brand's bestseller and top-selling A-CUV in Europe."
2023,Cupra,Born,45300,"All-electric model sales grew 44.4%."
2023,SEAT,Total,288400,"Brand returned to growth, up 24%."
2023,SEAT,Arona,89000,SEAT brand's best-selling model.
2023,SEAT,Ibiza,77700,"Strong recovery with 51.5% growth."
2022,Cupra,Total,152900,Previous year's baseline.
2022,SEAT,Total,232700,Previous year's baseline.
